token,logprob,offset,line
I,,0,0
 know,-4.262379,1,0
 what,-2.7924156,6,0
 with,-11.427921,11,0
 gust,-11.4601755,16,0
o,-0.06805241,21,0
 our,-6.3416667,22,0
 uncle,-7.9164715,26,0
 grabbed,-9.709809,32,0
 the,-1.4465919,40,0
 food,-6.2232184,44,0
 in,-3.7626944,49,0
 front,-2.9788818,52,0
 of,-0.019815054,58,0
 the,-3.862558,61,0
 guests,-4.2865367,65,0
 at,-3.9281912,72,0
 the,-0.60038495,75,0
 holiday,-5.0764775,79,0
 party,-5.041498,87,0
 .,-6.9891577,93,0
I,,0,1
 know,-4.2626586,1,1
 that,-2.3890448,6,1
 with,-6.4304013,11,1
 gust,-11.508954,16,1
o,-0.07065426,21,1
 our,-8.53958,22,1
 uncle,-8.813472,26,1
 grabbed,-8.973485,32,1
 the,-1.453853,40,1
 food,-6.4299994,44,1
 in,-3.7007177,49,1
 front,-2.180675,52,1
 of,-0.016161796,58,1
 the,-3.94895,61,1
 guests,-4.4393396,65,1
 at,-4.042854,72,1
 the,-0.5360814,75,1
 holiday,-6.5472603,79,1
 party,-3.10262,87,1
 .,-7.3004875,93,1
I,,0,2
 know,-4.2627506,1,2
 what,-2.7913566,6,2
 with,-11.418131,11,2
 gust,-11.466438,16,2
o,-0.06717359,21,2
 our,-6.3464108,22,2
 uncle,-7.9202504,26,2
 grabbed,-9.760385,32,2
 in,-5.5563383,40,2
 front,-5.302306,43,2
 of,-0.087617986,49,2
 the,-1.3019463,52,2
 guests,-4.7675295,56,2
 at,-3.0261335,63,2
 the,-0.6686255,66,2
 holiday,-5.547156,70,2
 party,-5.7092304,78,2
 .,-6.686328,84,2
I,,0,3
 know,-4.262682,1,3
 that,-2.3929074,6,3
 with,-6.429725,11,3
 gust,-11.505225,16,3
o,-0.07079295,21,3
 our,-8.561944,22,3
 uncle,-8.836053,26,3
 grabbed,-8.9571705,32,3
 in,-6.9856734,40,3
 front,-4.384048,43,3
 of,-0.12048893,49,3
 the,-1.4845505,52,3
 guests,-5.6488447,56,3
 at,-3.7214346,63,3
 the,-0.6259017,66,3
 holiday,-6.1466823,70,3
 party,-4.536119,78,3
 .,-7.4088626,84,3
My,,0,4
 neighbor,-7.701568,2,4
 told,-4.0819707,11,4
 me,-0.09312472,16,4
