token	logprob	sentence_id
		
I		0
		
 know	-4.262606	0
		
 what	-2.790752	0
		
 our	-7.2795544	0
		
 uncle	-8.402894	0
		
 grabbed	-13.327926	0
		
 the	-3.7979743	0
		
 food	-7.059118	0
		
 in	-4.7696805	0
		
 front	-5.2540703	0
		
 of	-0.08051166	0
		
 the	-2.0275843	0
		
 guests	-6.048122	0
		
 at	-4.2823763	0
		
 the	-0.6174535	0
		
 holiday	-6.891265	0
		
 party	-1.5515337	0
		
.	-1.1798122	0
		
I		1
		
 know	-4.262625	1
		
 that	-2.3919687	1
		
 our	-5.710374	1
		
 uncle	-8.903665	1
		
 grabbed	-11.929099	1
		
 the	-2.743669	1
		
 food	-6.3070974	1
		
 in	-4.449834	1
		
 front	-3.701848	1
		
 of	-0.030244147	1
		
 the	-2.6301265	1
		
 guests	-5.538244	1
		
 at	-3.433903	1
		
 the	-0.61379445	1
		
 holiday	-7.3492646	1
		
 party	-1.2049928	1
		
.	-1.4185086	1
		
I		2
		
 know	-4.262937	2
		
 what	-2.7905753	2
		
 our	-7.277861	2
		
 uncle	-8.423862	2
		
 grabbed	-13.328655	2
		
 in	-3.4727082	2
		
 front	-5.4280047	2
		
 of	-0.021990623	2
		
 the	-1.4631926	2
		
 guests	-7.180748	2
		
 at	-2.7657194	2
		
 the	-0.6811169	2
		
 holiday	-6.9811864	2
		
 party	-0.53310025	2
		
.	-1.2168549	2
		
I		3
		
 know	-4.262996	3
		
 that	-2.392272	3
		
 our	-5.710756	3
		
 uncle	-8.913456	3
		
 grabbed	-11.946835	3
		
 in	-8.846849	3
		
 front	-4.361346	3
		
 of	-0.07678605	3
		
 the	-1.7283679	3
		
 guests	-6.997308	3
		
 at	-3.2550282	3
		
 the	-0.61659527	3
		
 holiday	-7.239571	3
		
 party	-1.4391298	3
		
.	-1.567745	3
		
My		4
		
 neighbor	-7.7020807	4
		
 told	-4.0765567	4
		
 me	-0.09290531	4
		
 what	-4.341303	4
		
 the	-3.9437451	4
		
 dog	-4.7978225	4
		
 caught	-9.603219	4
		
 the	-4.5226555	4
		
 mouse	-7.044709	4
		
 in	-2.0647175	4
		
 full	-9.484032	4
		
 view	-1.4889483	4
		
 of	-0.36653432	4
		
 the	-0.9957265	4
		
 neighbors	-3.2165997	4
		
 yesterday	-7.089555	4
		
.	-0.79764557	4
		
My		5
		
 neighbor	-7.7017884	5
		
 told	-4.080801	5
		
 me	-0.092867695	5
		
 that	-1.2733972	5
		
 the	-2.190755	5
		
 dog	-5.3148537	5
		
 caught	-7.484656	5
		
 the	-2.0113187	5
		
 mouse	-5.63487	5
		
 in	-2.112993	5
		
 full	-9.361628	5
		
 view	-1.2966564	5
		
 of	-0.17463766	5
		
 the	-0.91821647	5
		
 neighbors	-4.1823864	5
		
 yesterday	-7.1982193	5
		
.	-0.9376778	5
		
My		6
		
 neighbor	-7.701686	6
		
 told	-4.0810323	6
		
 me	-0.09231047	6
		
 what	-4.338498	6
		
 the	-3.9392917	6
		
 dog	-4.794096	6
		
 caught	-9.5988455	6
		
 in	-1.821988	6
		
 full	-11.997593	6
		
 view	-1.5970672	6
		
 of	-0.5977838	6
		
 the	-1.1969192	6
		
 neighbors	-2.9477284	6
		
 yesterday	-5.9711237	6
		
.	-1.0309855	6
		
My		7
		
 neighbor	-7.70189	7
		
 told	-4.07882	7
		
 me	-0.093729466	7
		
 that	-1.2707019	7
		
 the	-2.1900501	7
		
 dog	-5.3256874	7
		
 caught	-7.490259	7
		
 in	-3.7588713	7
		
 full	-12.3335085	7
		
 view	-2.975132	7
		
 of	-0.6515976	7
		
 the	-1.1588742	7
		
 neighbors	-2.9105458	7
		
 yesterday	-7.2601533	7
		
.	-2.0840957	7
		
I		8
		
 know	-4.26282	8
		
 what	-2.7901483	8
		
 the	-3.6339004	8
		
 committee	-7.7591653	8
		
 delivered	-11.434228	8
		
 the	-5.195028	8
		
 report	-2.157939	8
		
 to	-1.8186411	8
		
 the	-0.90553427	8
		
 president	-2.600574	8
		
 by	-7.2513046	8
		
 the	-1.279231	8
		
 deadline	-1.9850909	8
		
.	-1.3796237	8
		
I		9
		
 know	-4.262937	9
		
 that	-2.393153	9
		
 the	-2.930988	9
		
 committee	-7.703597	9
		
 delivered	-11.225328	9
		
 the	-1.9901267	9
		
 report	-1.4075366	9
		
 to	-1.1575835	9
		
 the	-0.4614625	9
		
 president	-2.8249207	9
		
 by	-5.986321	9
		
 the	-1.8222901	9
		
 deadline	-2.0181935	9
		
.	-1.5897292	9
		
I		10
		
 know	-4.2628355	10
		
 what	-2.788384	10
		
 the	-3.6282709	10
		
 committee	-7.759215	10
		
 delivered	-11.436648	10
		
 to	-1.6253718	10
		
 the	-1.063764	10
		
 president	-2.9400504	10
		
 by	-7.198321	10
		
 the	-0.99668574	10
		
 deadline	-2.1039717	10
		
.	-1.8469412	10
		
I		11
		
 know	-4.262996	11
		
 that	-2.392272	11
		
 the	-2.9334278	11
		
 committee	-7.70839	11
		
 delivered	-11.2186	11
		
 to	-3.0485244	11
		
 the	-0.7937064	11
		
 president	-3.4162667	11
		
 by	-6.727463	11
		
 the	-0.71056104	11
		
 deadline	-2.964834	11
		
.	-2.9182117	11
		
You		12
		
 remember	-6.9396224	12
		
 what	-2.7200484	12
		
 the	-3.1508482	12
		
 businessman	-11.446407	12
		
 showed	-7.6986756	12
		
 the	-3.4910953	12
		
 presentation	-11.276907	12
		
 to	-1.396182	12
		
 the	-1.1359037	12
		
 visitors	-6.948163	12
		
 after	-6.647474	12
		
 lunch	-3.6640294	12
		
.	-2.0661147	12
		
You		13
		
 remember	-6.9389563	13
		
 that	-1.9006349	13
		
 the	-4.5149994	13
		
 businessman	-11.154852	13
		
 showed	-7.3679476	13
		
 the	-2.4960759	13
		
 presentation	-8.765835	13
		
 to	-1.0659871	13
		
 the	-1.1489908	13
		
 visitors	-7.255698	13
		
 after	-5.4533844	13
		
 lunch	-2.5759876	13
		
.	-1.1049808	13
		
You		14
		
 remember	-6.9395027	14
		
 what	-2.7209833	14
		
 the	-3.1541305	14
		
 businessman	-11.436466	14
		
 showed	-7.6932993	14
		
 to	-4.417011	14
		
 the	-1.0890517	14
		
 visitors	-6.693752	14
		
 after	-5.8190913	14
		
 lunch	-3.167822	14
		
.	-2.593668	14
		
You		15
		
 remember	-6.938547	15
		
 that	-1.9052275	15
		
 the	-4.5177436	15
		
 businessman	-11.152572	15
		
 showed	-7.379099	15
		
 to	-5.8315187	15
		
 the	-1.7273656	15
		
 visitors	-5.8480167	15
		
 after	-7.9009714	15
		
 lunch	-3.9670618	15
		
.	-2.4819798	15
		
She		16
		
 told	-4.937282	16
		
 me	-1.1524636	16
		
 what	-4.1508145	16
		
 the	-3.7202833	16
		
 star	-9.098563	16
		
 student	-8.625963	16
		
 stole	-9.714466	16
		
 answers	-11.670211	16
		
 to	-1.568638	16
		
 the	-1.3435265	16
		
 test	-1.2191626	16
		
 from	-1.2589396	16
		
 the	-1.3235712	16
		
 history	-9.161474	16
		
 teacher	-0.8669624	16
		
 last	-6.680625	16
		
 year	-0.75039023	16
		
.	-0.8872812	16
		
She		17
		
 told	-4.937283	17
		
 me	-1.1607302	17
		
 that	-1.5300925	17
		
 the	-2.6849623	17
		
 star	-8.984337	17
		
 student	-7.954437	17
		
 stole	-8.935194	17
		
 answers	-5.8066134	17
		
 to	-1.723784	17
		
 the	-1.3061292	17
		
 test	-1.2313149	17
		
 from	-0.85252357	17
		
 the	-1.2110124	17
