	sent_idx	word_idx	token	freq	surp
0	0	0	I	0.0123	0.0
1	0	1	know	0.00126	6.479259162376662
2	0	2	what	0.0024	4.710602455198243
3	0	3	with	0.00708	14.192929811032313
4	0	4	gusto	1e-06	18.766581535118497
5	0	5	our	0.00138	13.018864522786357
6	0	6	uncle	2.82e-05	12.62393000236507
7	0	7	grabbed	1.17e-05	13.807676972804247
8	0	8	the	0.0537	2.172024523255112
9	0	9	food	0.000251	9.994158412981568
10	0	10	in	0.0186	5.055328594098944
11	0	11	front	0.000191	3.8011537827585387
12	0	12	of	0.0251	0.06391313968205604
13	0	13	the	0.0537	4.235683769444646
14	0	14	guests	2.63e-05	7.77451202039591
15	0	15	at	0.00501	6.463654474271375
16	0	16	the	0.0537	0.75503318957338
17	0	17	holiday	4.57e-05	8.770926858993496
18	0	18	party	0.000309	3.9876796371080343
19	0	19	.	0.0	9.722487406372608
20	1	0	I	0.0123	0.0
21	1	1	know	0.00126	6.479259162376662
22	1	2	that	0.0102	2.822054052333537
23	1	3	with	0.00708	8.65161033044857
24	1	4	gusto	1e-06	16.75789557147575
25	1	5	our	0.00138	12.25626809321302
26	1	6	uncle	2.82e-05	13.615828748253927
27	1	7	grabbed	1.17e-05	12.330231782910282
28	1	8	the	0.0537	1.8222477463265945
29	1	9	food	0.000251	9.920064268672547
30	1	10	in	0.0186	4.969936580100702
31	1	11	front	0.000191	3.295573469729384
32	1	12	of	0.0251	0.02771667456870161
33	1	13	the	0.0537	4.67093319161499
34	1	14	guests	2.63e-05	7.55055081438611
35	1	15	at	0.00501	6.282316674767528
36	1	16	the	0.0537	0.7170469161539148
37	1	17	holiday	4.57e-05	8.965140312462449
38	1	18	party	0.000309	4.847892207316312
39	1	19	.	0.0	10.318567794178016
40	2	0	I	0.0123	0.0
41	2	1	know	0.00126	6.479259162376662
42	2	2	what	0.0024	4.710602455198243
43	2	3	with	0.00708	14.192929811032313
44	2	4	gusto	1e-06	18.766581535118497
45	2	5	our	0.00138	13.018864522786357
46	2	6	uncle	2.82e-05	12.62393000236507
47	2	7	grabbed	1.17e-05	13.807676972804247
48	2	8	in	0.0186	8.534921032085169
49	2	9	front	0.000191	6.486051981947814
50	2	10	of	0.0251	0.21342704787965544
51	2	11	the	0.0537	2.0966768333495978
52	2	12	guests	2.63e-05	9.138203903892705
53	2	13	at	0.00501	5.506734188644651
54	2	14	the	0.0537	0.8655338831753393
55	2	15	holiday	4.57e-05	7.8882908028884104
56	2	16	party	0.000309	3.7508026188023535
57	2	17	.	0.0	9.676864266967335
58	3	0	I	0.0123	0.0
59	3	1	know	0.00126	6.479259162376662
60	3	2	that	0.0102	2.822054052333537
61	3	3	with	0.00708	8.65161033044857
62	3	4	gusto	1e-06	16.75789557147575
63	3	5	our	0.00138	12.25626809321302
64	3	6	uncle	2.82e-05	13.615828748253927
65	3	7	grabbed	1.17e-05	12.330231782910282
66	3	8	in	0.0186	9.699815319781603
67	3	9	front	0.000191	6.172881885295453
68	3	10	of	0.0251	0.12430360446534673
69	3	11	the	0.0537	1.800802002789692
70	3	12	guests	2.63e-05	9.071760952312319
71	3	13	at	0.00501	5.308815691274519
72	3	14	the	0.0537	0.6448851257239289
73	3	15	holiday	4.57e-05	7.667607011428184
74	3	16	party	0.000309	5.159804586884415
75	3	17	.	0.0	9.877685896340822
76	4	0	My	0.00372	0.0
77	4	1	neighbor	1.29e-05	13.004512738028776
78	4	2	told	0.000347	5.637587121322418
79	4	3	me	0.00302	0.10710852536806165
80	4	4	what	0.0024	7.154031946392402
81	4	5	with	0.00708	12.979111932882446
82	4	6	skill	2.63e-05	17.95116593627676
83	4	7	the	0.0537	6.5230146767175246
84	4	8	dog	0.000126	7.082776902539834
85	4	9	caught	7.94e-05	8.307746234701453
86	4	10	the	0.0537	1.764495245047354
87	4	11	mouse	2.04e-05	5.07510225213765
88	4	12	for	0.0102	9.238225096492387
89	4	13	his	0.00324	5.443654277697401
90	4	14	neighbors	1.74e-05	13.297332737438097
91	4	15	yesterday	8.13e-05	9.568651478653878
92	4	16	.	0.0	7.879354737366141
93	5	0	My	0.00372	0.0
94	5	1	neighbor	1.29e-05	13.004512738028776
95	5	2	told	0.000347	5.637587121322418
96	5	3	me	0.00302	0.10710852536806165
97	5	4	that	0.0102	1.9126473937236053
98	5	5	with	0.00708	10.069113355389803
99	5	6	skill	2.63e-05	15.978787017770314
100	5	7	the	0.0537	6.2695044675081295
101	5	8	dog	0.000126	7.217323263053409
102	5	9	caught	7.94e-05	11.438755063203908
103	5	10	the	0.0537	2.077178171958684
104	5	11	mouse	2.04e-05	6.6250218372193475
105	5	12	for	0.0102	8.881677821413966
106	5	13	his	0.00324	6.364881509625717
107	5	14	neighbors	1.74e-05	13.857942022135893
108	5	15	yesterday	8.13e-05	9.601337842881724
109	5	16	.	0.0	8.856734509060036
110	6	0	My	0.00372	0.0
111	6	1	neighbor	1.29e-05	13.004512738028776
112	6	2	told	0.000347	5.637587121322418
113	6	3	me	0.00302	0.10710852536806165
114	6	4	what	0.0024	7.154031946392402
115	6	5	with	0.00708	12.979111932882446
116	6	6	skill	2.63e-05	17.95116593627676
