sentence_id	token_id	token	surprisal
1	1	i	8.92268
1	2	know	6.35939
1	3	what	4.42758
1	4	with	14.39
1	5	<unk>	5.65212
1	6	our	13.8951
1	7	uncle	14.5062
1	8	grabbed	17.2228
1	9	the	2.47315
1	10	food	12.1489
1	11	in	5.42139
1	12	front	9.84158
1	13	of	0.223773
1	14	the	1.68615
1	15	guests	15.3459
1	16	at	5.64195
1	17	the	3.5057699999999996
1	18	holiday	15.1187
1	19	party	11.5378
1	20	.	4.725969999999999
1	21	</s>	30.3658
2	1	i	8.92268
2	2	know	6.35939
2	3	that	3.01867
2	4	with	11.1003
2	5	<unk>	6.4737800000000005
2	6	our	13.8951
2	7	uncle	14.5062
2	8	grabbed	17.2228
2	9	the	2.47315
2	10	food	12.1489
2	11	in	5.42139
2	12	front	9.84158
2	13	of	0.223773
2	14	the	1.68615
2	15	guests	15.3459
2	16	at	5.64195
2	17	the	3.5057699999999996
2	18	holiday	15.1187
2	19	party	11.5378
2	20	.	4.725969999999999
2	21	</s>	30.3658
3	1	i	8.92268
3	2	know	6.35939
3	3	what	4.42758
3	4	with	14.39
3	5	<unk>	5.65212
3	6	our	13.8951
3	7	uncle	14.5062
3	8	grabbed	17.2228
3	9	in	9.027610000000001
3	10	front	8.89114
3	11	of	0.223773
3	12	the	1.68615
3	13	guests	15.3459
3	14	at	5.64195
3	15	the	3.5057699999999996
3	16	holiday	15.1187
3	17	party	11.5378
3	18	.	4.725969999999999
3	19	</s>	30.3658
4	1	i	8.92268
4	2	know	6.35939
4	3	that	3.01867
4	4	with	11.1003
4	5	<unk>	6.4737800000000005
4	6	our	13.8951
4	7	uncle	14.5062
4	8	grabbed	17.2228
4	9	in	9.027610000000001
4	10	front	8.89114
4	11	of	0.223773
4	12	the	1.68615
4	13	guests	15.3459
4	14	at	5.64195
4	15	the	3.5057699999999996
4	16	holiday	15.1187
4	17	party	11.5378
4	18	.	4.725969999999999
4	19	</s>	30.3658
5	1	my	12.9847
5	2	neighbor	12.5329
5	3	told	8.98811
5	4	me	5.671119999999999
5	5	what	7.46877
5	6	with	14.2086
5	7	skill	13.9565
5	8	the	7.63852
5	9	dog	12.2964
5	10	caught	14.9995
5	11	the	3.42595
5	12	mouse	14.8307
5	13	for	7.62395
5	14	his	6.2639
5	15	neighbors	12.9852
5	16	yesterday	17.8197
5	17	.	3.2734
5	18	</s>	25.7493
6	1	my	12.9847
6	2	neighbor	12.5329
6	3	told	8.98811
6	4	me	5.671119999999999
6	5	that	2.70399
6	6	with	10.9205
6	7	skill	14.8348
6	8	the	7.63852
6	9	dog	12.2964
6	10	caught	14.9995
6	11	the	3.42595
6	12	mouse	14.8307
6	13	for	7.62395
6	14	his	6.2639
6	15	neighbors	12.9852
6	16	yesterday	17.8197
6	17	.	3.2734
6	18	</s>	25.7493
7	1	my	12.9847
7	2	neighbor	12.5329
7	3	told	8.98811
7	4	me	5.671119999999999
7	5	what	7.46877
7	6	with	14.2086
7	7	skill	13.9565
7	8	the	7.63852
7	9	dog	12.2964
7	10	caught	14.9995
7	11	for	7.3541300000000005
7	12	his	6.40083
7	13	neighbors	12.9852
7	14	yesterday	17.8197
7	15	.	3.2734
7	16	</s>	25.7493
8	1	my	12.9847
8	2	neighbor	12.5329
8	3	told	8.98811
8	4	me	5.671119999999999
8	5	that	2.70399
8	6	with	10.9205
8	7	skill	14.8348
8	8	the	7.63852
8	9	dog	12.2964
8	10	caught	14.9995
8	11	for	7.3541300000000005
8	12	his	6.40083
8	13	neighbors	12.9852
8	14	yesterday	17.8197
8	15	.	3.2734
8	16	</s>	25.7493
9	1	i	8.92268
9	2	know	6.35939
9	3	what	4.42758
9	4	with	14.39
9	5	passion	13.5053
9	6	the	11.6552
9	7	committee	11.9906
9	8	delivered	11.23
9	9	the	3.87146
9	10	report	12.947000000000001
9	11	to	5.65292
9	12	the	1.41514
9	13	president	5.54346
9	14	by	9.18498
9	15	the	3.5057699999999996
9	16	deadline	13.3532
9	17	.	0.967678
9	18	</s>	24.5317
10	1	i	8.92268
10	2	know	6.35939
10	3	that	3.01867
10	4	with	11.1003
10	5	passion	14.3836
10	6	the	11.6552
10	7	committee	11.9906
10	8	delivered	11.23
10	9	the	3.87146
10	10	report	12.947000000000001
10	11	to	5.65292
10	12	the	1.41514
10	13	president	5.54346
10	14	by	9.18498
10	15	the	3.5057699999999996
10	16	deadline	13.3532
10	17	.	0.967678
10	18	</s>	24.5317
11	1	i	8.92268
11	2	know	6.35939
11	3	what	4.42758
11	4	with	14.39
11	5	passion	13.5053
11	6	the	11.6552
11	7	committee	11.9906
11	8	delivered	11.23
11	9	to	3.5954900000000003
11	10	the	2.20391
11	11	president	8.22459
11	12	by	9.11646
11	13	the	3.5057699999999996
11	14	deadline	13.3532
11	15	.	0.967678
11	16	</s>	24.5317
12	1	i	8.92268
12	2	know	6.35939
12	3	that	3.01867
12	4	with	11.1003
12	5	passion	14.3836
12	6	the	11.6552
12	7	committee	11.9906
12	8	delivered	11.23
12	9	to	3.5954900000000003
12	10	the	2.20391
