test,item,lisc,pron,island,region,model,surprisal
gender_adjunct,6,fem,fem,obj,pronoun,NGRAM,11.3873807356204
gender_adjunct,6,fem,male,obj,pronoun,NGRAM,9.96360889876157
gender_sent-subj,6,fem,fem,island,pronoun,NGRAM,11.372264523656
gender_sent-subj,6,fem,male,island,pronoun,NGRAM,9.94849373840304
gender_subj,6,fem,fem,island,pronoun,NGRAM,9.48981537321175
gender_subj,6,fem,male,island,pronoun,NGRAM,6.8958182093961
gender_sent-subj,6,fem,fem,obj,pronoun,NGRAM,11.372264523656
gender_sent-subj,6,fem,male,obj,pronoun,NGRAM,9.94849373840304
gender_subj,6,fem,fem,obj,pronoun,NGRAM,9.48981537321175
gender_subj,6,fem,male,obj,pronoun,NGRAM,6.8958182093961
gender_wh,6,fem,fem,obj,pronoun,NGRAM,11.3873807356204
gender_wh,6,fem,male,obj,pronoun,NGRAM,9.96360889876157
gender_wh,6,fem,fem,island,pronoun,NGRAM,11.3873807356204
gender_wh,6,fem,male,island,pronoun,NGRAM,9.96360889876157
gender_cnp,6,fem,fem,obj,pronoun,NGRAM,11.8615925726536
gender_cnp,6,fem,fem,obj,pronoun,NGRAM,11.8615925726536
gender_coord,6,fem,fem,obj,pronoun,NGRAM,11.8615925726536
gender_coord,6,fem,fem,obj,pronoun,NGRAM,11.8615925726536
gender_coord,6,fem,male,obj,pronoun,NGRAM,9.22618586756002
gender_coord,6,fem,male,obj,pronoun,NGRAM,9.22618586756002
gender_cnp,6,fem,male,obj,pronoun,NGRAM,9.22618586756002
gender_cnp,6,fem,male,obj,pronoun,NGRAM,9.22618586756002
gender_cnp,6,fem,fem,island,pronoun,NGRAM,12.1188656344409
gender_cnp,6,fem,male,island,pronoun,NGRAM,7.67270401677552
gender_coord,6,fem,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,6,fem,male,island,pronoun,NGRAM,7.53721895814034
gender_adjunct,6,fem,fem,island,pronoun,NGRAM,11.3873807356204
gender_adjunct,6,fem,male,island,pronoun,NGRAM,9.96360889876157
gender_cnp,23,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_cnp,23,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_coord,23,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_coord,23,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_cnp,23,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,23,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_coord,23,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_coord,23,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,23,male,fem,island,pronoun,NGRAM,11.8071665022317
gender_cnp,23,male,male,island,pronoun,NGRAM,10.3833949598851
gender_coord,23,male,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,23,male,male,island,pronoun,NGRAM,7.53721895814034
gender_sent-subj,23,male,fem,island,pronoun,NGRAM,11.2426682320879
gender_sent-subj,23,male,male,island,pronoun,NGRAM,6.74545045989759
gender_subj,23,male,fem,island,pronoun,NGRAM,9.48981537321175
gender_subj,23,male,male,island,pronoun,NGRAM,6.8958182093961
gender_sent-subj,23,male,fem,obj,pronoun,NGRAM,11.14486440137
gender_sent-subj,23,male,male,obj,pronoun,NGRAM,6.64764679701656
gender_subj,23,male,fem,obj,pronoun,NGRAM,9.48981537321175
gender_subj,23,male,male,obj,pronoun,NGRAM,6.8958182093961
gender_wh,23,male,fem,obj,pronoun,NGRAM,8.16153532233205
gender_wh,23,male,male,obj,pronoun,NGRAM,6.18063657203877
gender_wh,23,male,fem,island,pronoun,NGRAM,8.16153532233205
gender_wh,23,male,male,island,pronoun,NGRAM,6.18063657203877
gender_adjunct,23,male,fem,obj,pronoun,NGRAM,8.16153532233205
gender_adjunct,23,male,male,obj,pronoun,NGRAM,6.18063657203877
gender_adjunct,23,male,fem,island,pronoun,NGRAM,8.16153532233205
gender_adjunct,23,male,male,island,pronoun,NGRAM,6.18063657203877
gender_sent-subj,4,male,fem,island,pronoun,NGRAM,11.9166174842012
gender_sent-subj,4,male,male,island,pronoun,NGRAM,10.492845942823
gender_subj,4,male,fem,island,pronoun,NGRAM,10.2261699693342
gender_subj,4,male,male,island,pronoun,NGRAM,7.86518299738798
gender_coord,4,male,fem,obj,pronoun,NGRAM,11.372264523656
gender_coord,4,male,fem,obj,pronoun,NGRAM,11.372264523656
gender_cnp,4,male,fem,obj,pronoun,NGRAM,11.372264523656
gender_cnp,4,male,fem,obj,pronoun,NGRAM,11.372264523656
gender_cnp,4,male,male,obj,pronoun,NGRAM,9.94849373840304
gender_cnp,4,male,male,obj,pronoun,NGRAM,9.94849373840304
gender_coord,4,male,male,obj,pronoun,NGRAM,9.94849373840304
gender_coord,4,male,male,obj,pronoun,NGRAM,9.94849373840304
gender_cnp,4,male,fem,island,pronoun,NGRAM,11.3146150925516
gender_cnp,4,male,male,island,pronoun,NGRAM,9.89084322839065
gender_coord,4,male,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,4,male,male,island,pronoun,NGRAM,7.53721895814034
gender_sent-subj,4,male,fem,obj,pronoun,NGRAM,11.2920777196592
gender_sent-subj,4,male,male,obj,pronoun,NGRAM,9.86830562877305
gender_subj,4,male,fem,obj,pronoun,NGRAM,10.2261699693342
gender_subj,4,male,male,obj,pronoun,NGRAM,7.86518299738798
gender_adjunct,4,male,fem,obj,pronoun,NGRAM,8.18230122828125
gender_adjunct,4,male,male,obj,pronoun,NGRAM,10.4377807542517
gender_wh,4,male,fem,obj,pronoun,NGRAM,8.18230122828125
gender_wh,4,male,male,obj,pronoun,NGRAM,10.4377807542517
gender_wh,4,male,fem,island,pronoun,NGRAM,8.18230122828125
gender_wh,4,male,male,island,pronoun,NGRAM,10.4377807542517
gender_adjunct,4,male,fem,island,pronoun,NGRAM,8.18230122828125
gender_adjunct,4,male,male,island,pronoun,NGRAM,10.4377807542517
gender_coord,23,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_coord,23,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_cnp,23,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_cnp,23,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_coord,23,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_coord,23,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,23,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,23,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,23,fem,fem,island,pronoun,NGRAM,11.8071665022317
gender_cnp,23,fem,male,island,pronoun,NGRAM,10.3833949598851
gender_coord,23,fem,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,23,fem,male,island,pronoun,NGRAM,7.53721895814034
gender_sent-subj,23,fem,fem,island,pronoun,NGRAM,11.2426682320879
gender_sent-subj,23,fem,male,island,pronoun,NGRAM,6.74545045989759
gender_subj,23,fem,fem,island,pronoun,NGRAM,9.48981537321175
gender_subj,23,fem,male,island,pronoun,NGRAM,6.8958182093961
gender_sent-subj,23,fem,fem,obj,pronoun,NGRAM,11.14486440137
gender_sent-subj,23,fem,male,obj,pronoun,NGRAM,6.64764679701656
gender_subj,23,fem,fem,obj,pronoun,NGRAM,9.48981537321175
gender_subj,23,fem,male,obj,pronoun,NGRAM,6.8958182093961
gender_wh,23,fem,fem,obj,pronoun,NGRAM,8.16153532233205
gender_wh,23,fem,male,obj,pronoun,NGRAM,6.18063657203877
gender_wh,23,fem,fem,island,pronoun,NGRAM,8.16153532233205
gender_wh,23,fem,male,island,pronoun,NGRAM,6.18063657203877
gender_adjunct,23,fem,fem,obj,pronoun,NGRAM,8.16153532233205
gender_adjunct,23,fem,male,obj,pronoun,NGRAM,6.18063657203877
gender_adjunct,23,fem,fem,island,pronoun,NGRAM,8.16153532233205
gender_adjunct,23,fem,male,island,pronoun,NGRAM,6.18063657203877
gender_adjunct,6,male,fem,obj,pronoun,NGRAM,11.3873807356204
gender_adjunct,6,male,male,obj,pronoun,NGRAM,9.96360889876157
gender_sent-subj,6,male,fem,island,pronoun,NGRAM,11.372264523656
gender_sent-subj,6,male,male,island,pronoun,NGRAM,9.94849373840304
gender_subj,6,male,fem,island,pronoun,NGRAM,9.48981537321175
gender_subj,6,male,male,island,pronoun,NGRAM,6.8958182093961
gender_sent-subj,6,male,fem,obj,pronoun,NGRAM,11.372264523656
gender_sent-subj,6,male,male,obj,pronoun,NGRAM,9.94849373840304
gender_subj,6,male,fem,obj,pronoun,NGRAM,9.48981537321175
gender_subj,6,male,male,obj,pronoun,NGRAM,6.8958182093961
gender_wh,6,male,fem,obj,pronoun,NGRAM,11.3873807356204
gender_wh,6,male,male,obj,pronoun,NGRAM,9.96360889876157
gender_wh,6,male,fem,island,pronoun,NGRAM,11.3873807356204
gender_wh,6,male,male,island,pronoun,NGRAM,9.96360889876157
gender_cnp,6,male,fem,obj,pronoun,NGRAM,11.8615925726536
gender_cnp,6,male,fem,obj,pronoun,NGRAM,11.8615925726536
gender_coord,6,male,fem,obj,pronoun,NGRAM,11.8615925726536
