GPT3_token,GPT3,sentence_id,sent,sent_index
I,-0,0,I know what our uncle grabbed the food in front of the guests at the holiday party,1
 know,4.262606,0,I know what our uncle grabbed the food in front of the guests at the holiday party,2
 what,2.790752,0,I know what our uncle grabbed the food in front of the guests at the holiday party,3
 our,7.2795544,0,I know what our uncle grabbed the food in front of the guests at the holiday party,4
 uncle,8.402894,0,I know what our uncle grabbed the food in front of the guests at the holiday party,5
 grabbed,13.327926,0,I know what our uncle grabbed the food in front of the guests at the holiday party,6
 the,3.7979743,0,I know what our uncle grabbed the food in front of the guests at the holiday party,7
 food,7.059118,0,I know what our uncle grabbed the food in front of the guests at the holiday party,8
 in,4.7696805,0,I know what our uncle grabbed the food in front of the guests at the holiday party,9
 front,5.2540703,0,I know what our uncle grabbed the food in front of the guests at the holiday party,10
 of,0.08051166,0,I know what our uncle grabbed the food in front of the guests at the holiday party,11
 the,2.0275843,0,I know what our uncle grabbed the food in front of the guests at the holiday party,12
 guests,6.048122,0,I know what our uncle grabbed the food in front of the guests at the holiday party,13
 at,4.2823763,0,I know what our uncle grabbed the food in front of the guests at the holiday party,14
 the,0.6174535,0,I know what our uncle grabbed the food in front of the guests at the holiday party,15
 holiday,6.891265,0,I know what our uncle grabbed the food in front of the guests at the holiday party,16
 party,1.5515337,0,I know what our uncle grabbed the food in front of the guests at the holiday party,17
I,-0,1,I know that our uncle grabbed the food in front of the guests at the holiday party,1
 know,4.262625,1,I know that our uncle grabbed the food in front of the guests at the holiday party,2
 that,2.3919687,1,I know that our uncle grabbed the food in front of the guests at the holiday party,3
 our,5.710374,1,I know that our uncle grabbed the food in front of the guests at the holiday party,4
 uncle,8.903665,1,I know that our uncle grabbed the food in front of the guests at the holiday party,5
 grabbed,11.929099,1,I know that our uncle grabbed the food in front of the guests at the holiday party,6
 the,2.743669,1,I know that our uncle grabbed the food in front of the guests at the holiday party,7
 food,6.3070974,1,I know that our uncle grabbed the food in front of the guests at the holiday party,8
 in,4.449834,1,I know that our uncle grabbed the food in front of the guests at the holiday party,9
 front,3.701848,1,I know that our uncle grabbed the food in front of the guests at the holiday party,10
 of,0.030244147,1,I know that our uncle grabbed the food in front of the guests at the holiday party,11
 the,2.6301265,1,I know that our uncle grabbed the food in front of the guests at the holiday party,12
 guests,5.538244,1,I know that our uncle grabbed the food in front of the guests at the holiday party,13
 at,3.433903,1,I know that our uncle grabbed the food in front of the guests at the holiday party,14
 the,0.61379445,1,I know that our uncle grabbed the food in front of the guests at the holiday party,15
 holiday,7.3492646,1,I know that our uncle grabbed the food in front of the guests at the holiday party,16
 party,1.2049928,1,I know that our uncle grabbed the food in front of the guests at the holiday party,17
I,-0,2,I know what our uncle grabbed in front of the guests at the holiday party,1
 know,4.262937,2,I know what our uncle grabbed in front of the guests at the holiday party,2
 what,2.7905753,2,I know what our uncle grabbed in front of the guests at the holiday party,3
 our,7.277861,2,I know what our uncle grabbed in front of the guests at the holiday party,4
