"","island","item","wh","gap","region","model","surprisal"
"1","nocomp",1,"that","gap","continuation","GPT2",17.0701560974121
"2","nocomp",1,"that","gap","continuation","GPT3",15.6154959
"3","nocomp",1,"that","gap","continuation","GRNN",17.4990422725677
"4","nocomp",1,"that","gap","continuation","JRNN",21.8320771455765
"5","nocomp",1,"that","gap","continuation","NGRAM",22.600217215466
"6","nocomp",1,"that","nogap","embed_obj","GPT2",9.02002382278443
"7","nocomp",1,"that","nogap","embed_obj","GPT3",9.3444827
"8","nocomp",1,"that","nogap","embed_obj","GRNN",13.6728901863099
"9","nocomp",1,"that","nogap","embed_obj","JRNN",12.019455909729
"10","nocomp",1,"that","nogap","embed_obj","NGRAM",18.5388462775973
"11","nocomp",1,"what","gap","continuation","GPT2",17.4627070426941
"12","nocomp",1,"what","gap","continuation","GPT3",8.7969495
"13","nocomp",1,"what","gap","continuation","GRNN",13.5855106115341
"14","nocomp",1,"what","gap","continuation","JRNN",17.5355310440064
"15","nocomp",1,"what","gap","continuation","NGRAM",22.600217215466
"16","nocomp",1,"what","nogap","embed_obj","GPT2",9.39808177947998
"17","nocomp",1,"what","nogap","embed_obj","GPT3",10.4903693
"18","nocomp",1,"what","nogap","embed_obj","GRNN",16.5888748168945
"19","nocomp",1,"what","nogap","embed_obj","JRNN",17.8758354187011
"20","nocomp",1,"what","nogap","embed_obj","NGRAM",18.5388462775973
"21","nocomp",2,"that","gap","continuation","GPT2",8.82132363319397
"22","nocomp",2,"that","gap","continuation","GPT3",9.160054
"23","nocomp",2,"that","gap","continuation","GRNN",19.2886900901795
"24","nocomp",2,"that","gap","continuation","JRNN",16.5943720340729
"25","nocomp",2,"that","gap","continuation","NGRAM",21.9360844076767
"26","nocomp",2,"that","nogap","embed_obj","GPT2",8.68144059181213
"27","nocomp",2,"that","nogap","embed_obj","GPT3",8.388417
"28","nocomp",2,"that","nogap","embed_obj","GRNN",11.8464658260345
"29","nocomp",2,"that","nogap","embed_obj","JRNN",13.3151702880859
"30","nocomp",2,"that","nogap","embed_obj","NGRAM",19.4579150216291
"31","nocomp",2,"what","gap","continuation","GPT2",8.75572198629379
"32","nocomp",2,"what","gap","continuation","GPT3",7.38301474
"33","nocomp",2,"what","gap","continuation","GRNN",15.9049106836319
"34","nocomp",2,"what","gap","continuation","JRNN",13.213631272316
"35","nocomp",2,"what","gap","continuation","NGRAM",21.9360844076767
"36","nocomp",2,"what","nogap","embed_obj","GPT2",13.1533150672913
"37","nocomp",2,"what","nogap","embed_obj","GPT3",10.92647
"38","nocomp",2,"what","nogap","embed_obj","GRNN",12.6376495361328
"39","nocomp",2,"what","nogap","embed_obj","JRNN",19.9614276885986
"40","nocomp",2,"what","nogap","embed_obj","NGRAM",19.4579150216291
"41","nocomp",3,"that","gap","continuation","GPT2",15.1462759971619
"42","nocomp",3,"that","gap","continuation","GPT3",13.7627836
"43","nocomp",3,"that","gap","continuation","GRNN",20.2550983428955
"44","nocomp",3,"that","gap","continuation","JRNN",19.2543466091156
"45","nocomp",3,"that","gap","continuation","NGRAM",21.6078534479552
"46","nocomp",3,"that","nogap","embed_obj","GPT2",4.83745908737183
"47","nocomp",3,"that","nogap","embed_obj","GPT3",5.6502995
"48","nocomp",3,"that","nogap","embed_obj","GRNN",7.09550523757934
"49","nocomp",3,"that","nogap","embed_obj","JRNN",10.7370829582214
"50","nocomp",3,"that","nogap","embed_obj","NGRAM",17.6068127481112
"51","nocomp",3,"what","gap","continuation","GPT2",16.0189309120178
"52","nocomp",3,"what","gap","continuation","GPT3",13.6459513
"53","nocomp",3,"what","gap","continuation","GRNN",18.6318120956421
"54","nocomp",3,"what","gap","continuation","JRNN",21.4410290718079
"55","nocomp",3,"what","gap","continuation","NGRAM",21.6078534479552
"56","nocomp",3,"what","nogap","embed_obj","GPT2",9.1088318824768
"57","nocomp",3,"what","nogap","embed_obj","GPT3",8.618109
